SerBerKer,25,0.25
JollyRoger,1,1.0
Darkarbiter,25,0.782608695652174
WileE,25,0.52
DanceGabby,25,0.5882352941176471
Caballo,25,1.0
VISCIOUS,25,0.6923076923076923
Igniz,25,0.48
Spacebob,25,0.48
ChapSlop,25,0.44
Noobasaurus,25,0.6
Devolution,25,0.56
ViperFrog,8,0.375
Glacier,25,0.25
Arcticon,25,0.9444444444444444
Liqshot,25,0.9545454545454546
Aiser,25,0.5909090909090909
RazorclawX,25,0.9473684210526315
Kieon,25,0.2
SpaniardEX,25,0.24
Vinny,25,0.4
Fearless,25,0.6666666666666666
LoudTuesday,25,0.6190476190476191
AzorAhai,25,0.44
jonnieton,25,0.4
sorc,20,0.47058823529411764
Memento,25,0.4583333333333333
LunchLdyLanD,25,0.75
Deathbunnies,25,0.625
Wulfy,25,0.391304347826087
Darkbolt,25,0.4
Thander,25,0.96
kurrtose,25,0.56
Pseudo,25,0.6666666666666666
BradyHD,25,0.36
Sven,25,0.16
Ambuscade,25,0.4
Cantrix,25,0.68
Calegon,25,0.5454545454545454
Korbin,25,0.7727272727272727
WillBreezy,25,0.9230769230769231
ZenGraffix,25,0.56
MDL,25,0.56
AvilosMom,16,0.75
HforPREZ,25,0.56
Stoan,25,0.4
ragdoll,25,0.48
partouf,25,0.7368421052631579
GreatWall,25,0.625
Cthulhu,25,0.68
Miros,25,0.8333333333333334
Savanni,25,0.6666666666666666
Aseras,20,0.55
JonSnow,2,0
Sisyphus,25,0.56
zAndreas,25,0.36
Domon,25,0.6
Rainor,25,0.6190476190476191
PeterM,25,0.36
OrexxerO,25,0.44
RevDime,25,0.5714285714285714
Karegador,25,0.68
Scotchy,25,0.28
San,25,0.72
moralfighter,25,0.5
Xiries,0,0
Mazziah,25,0.5
Kingturtle,20,0.13333333333333333
TheLastPro,25,0.52
TacticalCow,25,0.4
XelNaga,25,0.52
Mcleod,25,0.68
MrLAU,25,0.16
Mackamentain,25,0.56
KFC,25,0.5416666666666666
Whurdar,25,0.56
petrie,25,0.52
DINOSAUR,25,0.48
Vertego,25,0.3888888888888889
rembrandt,25,0.6
sAber,25,0.4
Prokofiev,25,0.043478260869565216
XCeagleTHREE,25,0.8260869565217391
Claude,25,0.64
Cobbler,25,0.72
Democreous,25,0.72
Banshee,25,0.36363636363636365
Protostate,25,0.68
lexarom,25,0.84
alabare,25,0.48
Jonny,25,0.625
Hashashsheen,25,0.52
SHiZZ,25,0.36
Scoizzle,25,0.6153846153846154
ZArTassaTul,25,0.72
RainWalker,25,0.6666666666666666
Grush,25,0.5454545454545454
Lygris,20,0.6
Mightymerph,25,1.0
protege,25,0.625
DalBolasek,25,0.6
Suzuiscool,25,0.38095238095238093
EXILA,25,0.2
Hurtsogood,0,0
Ebrios,25,1.0
Nave,21,0.38095238095238093
IAnomalyI,25,0.68
DerpsonHerp,25,0.43478260869565216
Mavrigo,25,0.2857142857142857
Kanias,25,0.631578947368421
killdry,25,0.56
Darayavahu,25,0.5
Xterminator,25,0.28
RayRay,20,0.5263157894736842
Kisuke,25,0.7647058823529411
Ssaya,25,0.48
Darcouth,25,0.45454545454545453
QcZ,25,0.6666666666666666
Adama,25,0.6842105263157895
HowTwo,25,0.32
Neuthung,25,0.43478260869565216
Zantron,25,0.5294117647058824
Domnorix,25,0.8333333333333334
ithenoob,25,0.84
Mays,25,0.48
ZephyrO,25,0.6
RATM,25,0.4782608695652174
wang,25,0.2
MattumsFox,25,0.5
Zip,25,0.7222222222222222
Majoris,25,0.625
RufusKing,25,0.68
Graves,25,0.5416666666666666
warrioryik,25,0.84
trekkie,25,0.48
Kalkura,25,0.7619047619047619
PoisonedJak,25,0.4782608695652174
DudasDrakaan,25,0.48
Jermie,25,0.48
Hexylamine,25,0.55
Bigdigs,25,0.36
SlitheryDee,25,0.7619047619047619
Bored,25,0.6
Incubus,25,0.76
Messenger,25,0.72
Arios,25,0.52
UrMotherDes,25,0.44
BasedGodLilB,25,0.56
Phi,25,0.625
IamJon,25,0.14285714285714285
TurtleMafia,25,0.6
BLUEDREAM,25,0.56
Gunburned,25,0.5909090909090909
DeLF,25,0.72
BloodyIron,25,0.06666666666666667
SliceNdicE,25,0.4782608695652174
Barnak,25,0.68
EnZ,25,0.52
Sabrina,25,0.6
Southpaw,25,0.4
Ramco,25,0.5
bayaz,25,0.4
Yakult,25,0.56
Valesito,25,0.4
GeneralAcorn,25,0.6
JerkitheJerk,25,0.43478260869565216
blessednegro,20,0.45
Mayic,25,0.9230769230769231
Aetas,25,0.5
Albinorabger,2,0.0
Murkwater,25,0.44
phrogcarnage,25,0.56
IceCreamMan,25,0.48
JimKeeley,25,0.5416666666666666
BrightNA,25,0.52
GinormousNG,25,0.44
JPrestige,25,0.5833333333333334
Llilyth,25,0.8461538461538461
BloodRaider,25,0.42857142857142855
Spineropolis,25,0.52
GGBoxer,25,0.6428571428571429
Landwehr,25,0.68
BigPete,15,0.3333333333333333
zeroaltitude,25,0.631578947368421
Draknir,25,0.5833333333333334
HankVenture,25,0.88
KingCroesus,25,0.7272727272727273
Megarus,25,0.4
DeathRaptor,25,0.4166666666666667
XOSauce,25,0.52
Mayhem,25,0.6666666666666666
redbone,25,0.4166666666666667
IUVSaughter,16,0.21428571428571427
RxSeven,25,0.68
FADETitaN,25,0.64
StrikerX,25,0.76
CrazyCanuck,25,0.6
Archimage,25,0.47058823529411764
Aphex,25,0.52
Bananalisk,25,0.6666666666666666
Jennings,25,0.2916666666666667
ASLDKJF,25,0.6
Invisusira,11,0.5
FlashnFuse,25,0.6
Opeth,25,0.7727272727272727
Speedyblupi,18,0.625
Deigon,25,0.6
fluxOmega,25,0.7777777777777778
Apollinarius,25,0.5454545454545454
DVNO,25,0.5833333333333334
Mitis,25,0.5833333333333334
Cryos,25,0.4
Raichu,25,0.5714285714285714
CrackCocaine,25,0.47368421052631576
ShasODerpy,25,0.44
coalWater,25,0.7083333333333334
Aukrest,25,0.32
Hagen,20,0.35
Crabalanche,25,0.24
Woobie,25,0.4090909090909091
Unspecified,20,0.25
CrimxnKnight,25,0.75
Hypino,25,0.4
Khran,25,1.0
Hazed,25,0.2
LANfear,25,0.625
Avrose,25,0.36
CmdrDrake,25,0.44
Swoosh,25,0.5416666666666666
Zahny,25,0.2222222222222222
Chorn,25,0.7916666666666666
Sparwa,25,0.8888888888888888
Kembatron,25,0.6956521739130435
eeniebear,20,0.1875
Thunderfist,25,0.72
GTNSX,25,0.5
RelaxeD,25,0.68
Exocius,6,0.5
Krelian,25,0.6
Snaaaake,25,0.4166666666666667
RedZaku,25,0.4166666666666667
EasyE,25,0.8888888888888888
Kinaesthetic,25,0.52
BnWPanda,25,0.7
Alterex,25,0.52
Zeno,20,0.625
Entity,25,0.6086956521739131
SgtChronic,25,0.4782608695652174
Phenotype,25,0.72
lilzarr,25,0.4166666666666667
mustaine,25,0.5
Hack,25,0.23809523809523808
THETHRILLER,25,1.0
TheCivilOne,25,0.625
YourDogSucks,24,0.5833333333333334
Bobhlead,25,0.5416666666666666
Coco,25,0.8235294117647058
Csquared,25,0.88
SpecialistJr,25,0.6
Crassus,25,0.64
TKiNewbie,25,0.64
IMPlayer,25,0.56
Zeta,25,0.5833333333333334
SiNlRestrict,25,0.28
Raider,25,0.7727272727272727
AarDVarK,25,0.76
LgHairDtCare,25,0.25
Tura,25,0.5416666666666666
wilsooooooon,25,0.48
DrFriendly,25,0.9090909090909091
DeathGoose,25,0.64
Melchisedec,25,0.4
HappyFace,25,0.6190476190476191
Defekter,25,0.68
Lagrangian,25,0.24
MadOx,25,0.4
UnionZealots,25,0.6
starhunk,25,0.56
edberh,25,0.44
Arkons,25,0.32
ZeroSkylineX,25,0.8260869565217391
xoxoAvaay,25,0.68
Streetguru,25,0.56
Jacob,25,0.30434782608695654
CanucksJC,25,0.72
YODA,25,0.56
Swarmlord,25,0.52
EZPikachu,25,0.7777777777777778
aflimadimdim,20,0.2777777777777778
CarlosSpicy,25,0.6842105263157895
Granger,25,0.88
SlapChop,22,0.6666666666666666
Grimeval,25,0.7727272727272727
MTC,25,0.44
Schwaz,25,0.68
Vase,25,0.72
rdj,20,0.7142857142857143
alcapwned,25,0.6
ADiaz,25,0.68
overNINEk,25,0.36
pycco,25,0.52
SpartikuS,25,0.4
Archer,25,0.375
Emptor,25,0.55
AloFlow,25,0.2
Quickstylez,25,0.56
RedAlert,4,0.3333333333333333
Creed,25,0.6
SpaceBeast,0,0
instinctive,25,0.5
Jeroam,25,0.4090909090909091
VoidReaper,25,0.5238095238095238
CoolguyBad,25,0.5238095238095238
tundra,25,0.7142857142857143
REM,25,0.7272727272727273
Benny,25,0.56
Timothy,22,0.5238095238095238
ModusPwnens,25,0.56
KOLZ,25,0.8333333333333334
ElectricFan,25,0.76
TheProdigy,25,0.0
PULSAR,25,0.52
mirage,25,0.5217391304347826
MiMRage,25,0.35
GGLite,25,0.34782608695652173
KALEO,25,0.48
